lat,lon,faction,date
9.5,92.0,Outside Myanmar,myanmar_2025-06-05
9.5,92.1,Outside Myanmar,myanmar_2025-06-05
9.5,92.2,Outside Myanmar,myanmar_2025-06-05
9.5,92.3,Outside Myanmar,myanmar_2025-06-05
9.5,92.4,Outside Myanmar,myanmar_2025-06-05
9.5,92.5,Outside Myanmar,myanmar_2025-06-05
9.5,92.6,Outside Myanmar,myanmar_2025-06-05
9.5,92.7,Outside Myanmar,myanmar_2025-06-05
9.5,92.8,Outside Myanmar,myanmar_2025-06-05
9.5,92.9,Outside Myanmar,myanmar_2025-06-05
9.5,93.0,Outside Myanmar,myanmar_2025-06-05
9.5,93.1,Outside Myanmar,myanmar_2025-06-05
9.5,93.2,Outside Myanmar,myanmar_2025-06-05
9.5,93.3,Outside Myanmar,myanmar_2025-06-05
9.5,93.4,Outside Myanmar,myanmar_2025-06-05
9.5,93.5,Outside Myanmar,myanmar_2025-06-05
9.5,93.6,Outside Myanmar,myanmar_2025-06-05
9.5,93.7,Outside Myanmar,myanmar_2025-06-05
9.5,93.8,Outside Myanmar,myanmar_2025-06-05
9.5,93.9,Outside Myanmar,myanmar_2025-06-05
9.5,94.0,Outside Myanmar,myanmar_2025-06-05
9.5,94.1,Outside Myanmar,myanmar_2025-06-05
9.5,94.2,Outside Myanmar,myanmar_2025-06-05
9.5,94.3,Outside Myanmar,myanmar_2025-06-05
9.5,94.4,Outside Myanmar,myanmar_2025-06-05
9.5,94.5,Outside Myanmar,myanmar_2025-06-05
9.5,94.6,Outside Myanmar,myanmar_2025-06-05
9.5,94.7,Outside Myanmar,myanmar_2025-06-05
9.5,94.8,Outside Myanmar,myanmar_2025-06-05
9.5,94.9,Outside Myanmar,myanmar_2025-06-05
9.5,95.0,Outside Myanmar,myanmar_2025-06-05
9.5,95.1,Outside Myanmar,myanmar_2025-06-05
9.5,95.2,Outside Myanmar,myanmar_2025-06-05
9.5,95.3,Outside Myanmar,myanmar_2025-06-05
9.5,95.4,Outside Myanmar,myanmar_2025-06-05
9.5,95.5,Outside Myanmar,myanmar_2025-06-05
9.5,95.6,Outside Myanmar,myanmar_2025-06-05
9.5,95.7,Outside Myanmar,myanmar_2025-06-05
9.5,95.8,Outside Myanmar,myanmar_2025-06-05
9.5,95.9,Outside Myanmar,myanmar_2025-06-05
9.5,96.0,Outside Myanmar,myanmar_2025-06-05
9.5,96.1,Outside Myanmar,myanmar_2025-06-05
9.5,96.2,Outside Myanmar,myanmar_2025-06-05
9.5,96.3,Outside Myanmar,myanmar_2025-06-05
9.5,96.4,Outside Myanmar,myanmar_2025-06-05
9.5,96.5,Outside Myanmar,myanmar_2025-06-05
9.5,96.6,Outside Myanmar,myanmar_2025-06-05
9.5,96.7,Outside Myanmar,myanmar_2025-06-05
9.5,96.8,Outside Myanmar,myanmar_2025-06-05
9.5,96.9,Outside Myanmar,myanmar_2025-06-05
9.5,97.0,Outside Myanmar,myanmar_2025-06-05
9.5,97.1,Outside Myanmar,myanmar_2025-06-05
9.5,97.2,Outside Myanmar,myanmar_2025-06-05
9.5,97.3,Outside Myanmar,myanmar_2025-06-05
9.5,97.4,Outside Myanmar,myanmar_2025-06-05
9.5,97.5,Outside Myanmar,myanmar_2025-06-05
9.5,97.6,Outside Myanmar,myanmar_2025-06-05
9.5,97.7,Outside Myanmar,myanmar_2025-06-05
9.5,97.8,Outside Myanmar,myanmar_2025-06-05
9.5,97.9,Outside Myanmar,myanmar_2025-06-05
9.5,98.0,Outside Myanmar,myanmar_2025-06-05
9.5,98.1,Outside Myanmar,myanmar_2025-06-05
9.5,98.2,Outside Myanmar,myanmar_2025-06-05
9.5,98.3,Outside Myanmar,myanmar_2025-06-05
9.5,98.4,Outside Myanmar,myanmar_2025-06-05
9.5,98.5,Outside Myanmar,myanmar_2025-06-05
9.5,98.6,Outside Myanmar,myanmar_2025-06-05
9.5,98.7,Outside Myanmar,myanmar_2025-06-05
9.5,98.8,Outside Myanmar,myanmar_2025-06-05
9.5,98.9,Outside Myanmar,myanmar_2025-06-05
9.5,99.0,Outside Myanmar,myanmar_2025-06-05
9.5,99.1,Outside Myanmar,myanmar_2025-06-05
9.5,99.2,Outside Myanmar,myanmar_2025-06-05
9.5,99.3,Outside Myanmar,myanmar_2025-06-05
9.5,99.4,Outside Myanmar,myanmar_2025-06-05
9.5,99.5,Outside Myanmar,myanmar_2025-06-05
9.5,99.6,Outside Myanmar,myanmar_2025-06-05
9.5,99.7,Outside Myanmar,myanmar_2025-06-05
9.5,99.8,Outside Myanmar,myanmar_2025-06-05
9.5,99.9,Outside Myanmar,myanmar_2025-06-05
9.5,100.0,Outside Myanmar,myanmar_2025-06-05
9.5,100.1,Outside Myanmar,myanmar_2025-06-05
9.5,100.2,Outside Myanmar,myanmar_2025-06-05
9.5,100.3,Outside Myanmar,myanmar_2025-06-05
9.5,100.4,Outside Myanmar,myanmar_2025-06-05
9.5,100.5,Outside Myanmar,myanmar_2025-06-05
9.5,100.6,Outside Myanmar,myanmar_2025-06-05
9.5,100.7,Outside Myanmar,myanmar_2025-06-05
9.5,100.8,Outside Myanmar,myanmar_2025-06-05
9.5,100.9,Outside Myanmar,myanmar_2025-06-05
9.5,101.0,Outside Myanmar,myanmar_2025-06-05
9.5,101.1,Outside Myanmar,myanmar_2025-06-05
9.5,101.2,Outside Myanmar,myanmar_2025-06-05
9.5,101.3,Outside Myanmar,myanmar_2025-06-05
9.5,101.4,Outside Myanmar,myanmar_2025-06-05
9.6,92.0,Outside Myanmar,myanmar_2025-06-05
9.6,92.1,Outside Myanmar,myanmar_2025-06-05
9.6,92.2,Outside Myanmar,myanmar_2025-06-05
9.6,92.3,Outside Myanmar,myanmar_2025-06-05
9.6,92.4,Outside Myanmar,myanmar_2025-06-05
9.6,92.5,Outside Myanmar,myanmar_2025-06-05
9.6,92.6,Outside Myanmar,myanmar_2025-06-05
9.6,92.7,Outside Myanmar,myanmar_2025-06-05
9.6,92.8,Outside Myanmar,myanmar_2025-06-05
9.6,92.9,Outside Myanmar,myanmar_2025-06-05
9.6,93.0,Outside Myanmar,myanmar_2025-06-05
9.6,93.1,Outside Myanmar,myanmar_2025-06-05
9.6,93.2,Outside Myanmar,myanmar_2025-06-05
9.6,93.3,Outside Myanmar,myanmar_2025-06-05
9.6,93.4,Outside Myanmar,myanmar_2025-06-05
9.6,93.5,Outside Myanmar,myanmar_2025-06-05
9.6,93.6,Outside Myanmar,myanmar_2025-06-05
9.6,93.7,Outside Myanmar,myanmar_2025-06-05
9.6,93.8,Outside Myanmar,myanmar_2025-06-05
9.6,93.9,Outside Myanmar,myanmar_2025-06-05
9.6,94.0,Outside Myanmar,myanmar_2025-06-05
9.6,94.1,Outside Myanmar,myanmar_2025-06-05
9.6,94.2,Outside Myanmar,myanmar_2025-06-05
9.6,94.3,Outside Myanmar,myanmar_2025-06-05
9.6,94.4,Outside Myanmar,myanmar_2025-06-05
9.6,94.5,Outside Myanmar,myanmar_2025-06-05
9.6,94.6,Outside Myanmar,myanmar_2025-06-05
9.6,94.7,Outside Myanmar,myanmar_2025-06-05
9.6,94.8,Outside Myanmar,myanmar_2025-06-05
9.6,94.9,Outside Myanmar,myanmar_2025-06-05
9.6,95.0,Outside Myanmar,myanmar_2025-06-05
9.6,95.1,Outside Myanmar,myanmar_2025-06-05
9.6,95.2,Outside Myanmar,myanmar_2025-06-05
9.6,95.3,Outside Myanmar,myanmar_2025-06-05
9.6,95.4,Outside Myanmar,myanmar_2025-06-05
9.6,95.5,Outside Myanmar,myanmar_2025-06-05
9.6,95.6,Outside Myanmar,myanmar_2025-06-05
9.6,95.7,Outside Myanmar,myanmar_2025-06-05
9.6,95.8,Outside Myanmar,myanmar_2025-06-05
9.6,95.9,Outside Myanmar,myanmar_2025-06-05
9.6,96.0,Outside Myanmar,myanmar_2025-06-05
9.6,96.1,Outside Myanmar,myanmar_2025-06-05
9.6,96.2,Outside Myanmar,myanmar_2025-06-05
9.6,96.3,Outside Myanmar,myanmar_2025-06-05
9.6,96.4,Outside Myanmar,myanmar_2025-06-05
9.6,96.5,Outside Myanmar,myanmar_2025-06-05
9.6,96.6,Outside Myanmar,myanmar_2025-06-05
9.6,96.7,Outside Myanmar,myanmar_2025-06-05
9.6,96.8,Outside Myanmar,myanmar_2025-06-05
9.6,96.9,Outside Myanmar,myanmar_2025-06-05
9.6,97.0,Outside Myanmar,myanmar_2025-06-05
9.6,97.1,Outside Myanmar,myanmar_2025-06-05
9.6,97.2,Outside Myanmar,myanmar_2025-06-05
9.6,97.3,Outside Myanmar,myanmar_2025-06-05
9.6,97.4,Outside Myanmar,myanmar_2025-06-05
9.6,97.5,Outside Myanmar,myanmar_2025-06-05
9.6,97.6,Outside Myanmar,myanmar_2025-06-05
9.6,97.7,Outside Myanmar,myanmar_2025-06-05
9.6,97.8,Outside Myanmar,myanmar_2025-06-05
9.6,97.9,Outside Myanmar,myanmar_2025-06-05
9.6,98.0,Outside Myanmar,myanmar_2025-06-05
9.6,98.1,Outside Myanmar,myanmar_2025-06-05
9.6,98.2,Outside Myanmar,myanmar_2025-06-05
9.6,98.3,Outside Myanmar,myanmar_2025-06-05
9.6,98.4,Outside Myanmar,myanmar_2025-06-05
9.6,98.5,Outside Myanmar,myanmar_2025-06-05
9.6,98.6,Outside Myanmar,myanmar_2025-06-05
9.6,98.7,Outside Myanmar,myanmar_2025-06-05
9.6,98.8,Outside Myanmar,myanmar_2025-06-05
9.6,98.9,Outside Myanmar,myanmar_2025-06-05
9.6,99.0,Outside Myanmar,myanmar_2025-06-05
9.6,99.1,Outside Myanmar,myanmar_2025-06-05
9.6,99.2,Outside Myanmar,myanmar_2025-06-05
9.6,99.3,Outside Myanmar,myanmar_2025-06-05
9.6,99.4,Outside Myanmar,myanmar_2025-06-05
9.6,99.5,Outside Myanmar,myanmar_2025-06-05
9.6,99.6,Outside Myanmar,myanmar_2025-06-05
9.6,99.7,Outside Myanmar,myanmar_2025-06-05
9.6,99.8,Outside Myanmar,myanmar_2025-06-05
9.6,99.9,Outside Myanmar,myanmar_2025-06-05
9.6,100.0,Outside Myanmar,myanmar_2025-06-05
9.6,100.1,Outside Myanmar,myanmar_2025-06-05
9.6,100.2,Outside Myanmar,myanmar_2025-06-05
9.6,100.3,Outside Myanmar,myanmar_2025-06-05
9.6,100.4,Outside Myanmar,myanmar_2025-06-05
9.6,100.5,Outside Myanmar,myanmar_2025-06-05
9.6,100.6,Outside Myanmar,myanmar_2025-06-05
9.6,100.7,Outside Myanmar,myanmar_2025-06-05
9.6,100.8,Outside Myanmar,myanmar_2025-06-05
9.6,100.9,Outside Myanmar,myanmar_2025-06-05
9.6,101.0,Outside Myanmar,myanmar_2025-06-05
9.6,101.1,Outside Myanmar,myanmar_2025-06-05
9.6,101.2,Outside Myanmar,myanmar_2025-06-05
9.6,101.3,Outside Myanmar,myanmar_2025-06-05
9.6,101.4,Outside Myanmar,myanmar_2025-06-05
9.7,92.0,Outside Myanmar,myanmar_2025-06-05
9.7,92.1,Outside Myanmar,myanmar_2025-06-05
9.7,92.2,Outside Myanmar,myanmar_2025-06-05
9.7,92.3,Outside Myanmar,myanmar_2025-06-05
9.7,92.4,Outside Myanmar,myanmar_2025-06-05
9.7,92.5,Outside Myanmar,myanmar_2025-06-05
9.7,92.6,Outside Myanmar,myanmar_2025-06-05
9.7,92.7,Outside Myanmar,myanmar_2025-06-05
9.7,92.8,Outside Myanmar,myanmar_2025-06-05
9.7,92.9,Outside Myanmar,myanmar_2025-06-05
9.7,93.0,Outside Myanmar,myanmar_2025-06-05
9.7,93.1,Outside Myanmar,myanmar_2025-06-05
9.7,93.2,Outside Myanmar,myanmar_2025-06-05
9.7,93.3,Outside Myanmar,myanmar_2025-06-05
9.7,93.4,Outside Myanmar,myanmar_2025-06-05
9.7,93.5,Outside Myanmar,myanmar_2025-06-05
9.7,93.6,Outside Myanmar,myanmar_2025-06-05
9.7,93.7,Outside Myanmar,myanmar_2025-06-05
9.7,93.8,Outside Myanmar,myanmar_2025-06-05
9.7,93.9,Outside Myanmar,myanmar_2025-06-05
9.7,94.0,Outside Myanmar,myanmar_2025-06-05
9.7,94.1,Outside Myanmar,myanmar_2025-06-05
9.7,94.2,Outside Myanmar,myanmar_2025-06-05
9.7,94.3,Outside Myanmar,myanmar_2025-06-05
9.7,94.4,Outside Myanmar,myanmar_2025-06-05
9.7,94.5,Outside Myanmar,myanmar_2025-06-05
9.7,94.6,Outside Myanmar,myanmar_2025-06-05
9.7,94.7,Outside Myanmar,myanmar_2025-06-05
9.7,94.8,Outside Myanmar,myanmar_2025-06-05
9.7,94.9,Outside Myanmar,myanmar_2025-06-05
9.7,95.0,Outside Myanmar,myanmar_2025-06-05
9.7,95.1,Outside Myanmar,myanmar_2025-06-05
9.7,95.2,Outside Myanmar,myanmar_2025-06-05
9.7,95.3,Outside Myanmar,myanmar_2025-06-05
9.7,95.4,Outside Myanmar,myanmar_2025-06-05
9.7,95.5,Outside Myanmar,myanmar_2025-06-05
9.7,95.6,Outside Myanmar,myanmar_2025-06-05
9.7,95.7,Outside Myanmar,myanmar_2025-06-05
9.7,95.8,Outside Myanmar,myanmar_2025-06-05
9.7,95.9,Outside Myanmar,myanmar_2025-06-05
9.7,96.0,Outside Myanmar,myanmar_2025-06-05
9.7,96.1,Outside Myanmar,myanmar_2025-06-05
9.7,96.2,Outside Myanmar,myanmar_2025-06-05
9.7,96.3,Outside Myanmar,myanmar_2025-06-05
9.7,96.4,Outside Myanmar,myanmar_2025-06-05
9.7,96.5,Outside Myanmar,myanmar_2025-06-05
9.7,96.6,Outside Myanmar,myanmar_2025-06-05
9.7,96.7,Outside Myanmar,myanmar_2025-06-05
9.7,96.8,Outside Myanmar,myanmar_2025-06-05
9.7,96.9,Outside Myanmar,myanmar_2025-06-05
9.7,97.0,Outside Myanmar,myanmar_2025-06-05
