priogrid_gid,lat,lon,faction,date
144558,10.25,98.75,Junta,myanmar_2026-04-04
145277,10.75,98.25,Junta,myanmar_2026-04-04
145278,10.75,98.75,Junta,myanmar_2026-04-04
145998,11.25,98.75,Junta,myanmar_2026-04-04
145999,11.25,99.25,PDF,myanmar_2026-04-04
146717,11.75,98.25,Junta,myanmar_2026-04-04
146718,11.75,98.75,PDF,myanmar_2026-04-04
146719,11.75,99.25,PDF,myanmar_2026-04-04
146720,11.75,99.75,Junta,myanmar_2026-04-04
147437,12.25,98.25,Junta,myanmar_2026-04-04
147438,12.25,98.75,Junta,myanmar_2026-04-04
147439,12.25,99.25,PDF,myanmar_2026-04-04
148157,12.75,98.25,Junta,myanmar_2026-04-04
148158,12.75,98.75,Junta,myanmar_2026-04-04
148159,12.75,99.25,PDF,myanmar_2026-04-04
148878,13.25,98.75,Junta,myanmar_2026-04-04
148879,13.25,99.25,PDF,myanmar_2026-04-04
149597,13.75,98.25,Junta,myanmar_2026-04-04
149598,13.75,98.75,Karen,myanmar_2026-04-04
149599,13.75,99.25,Karen,myanmar_2026-04-04
150317,14.25,98.25,Junta,myanmar_2026-04-04
150318,14.25,98.75,Karen,myanmar_2026-04-04
151036,14.75,97.75,Junta,myanmar_2026-04-04
151037,14.75,98.25,Karen,myanmar_2026-04-04
151756,15.25,97.75,Junta,myanmar_2026-04-04
151757,15.25,98.25,Junta,myanmar_2026-04-04
152471,15.75,95.25,Junta,myanmar_2026-04-04
152472,15.75,95.75,Junta,myanmar_2026-04-04
152476,15.75,97.75,Junta,myanmar_2026-04-04
152477,15.75,98.25,Karen,myanmar_2026-04-04
153189,16.25,94.25,Junta,myanmar_2026-04-04
153190,16.25,94.75,Junta,myanmar_2026-04-04
153191,16.25,95.25,Junta,myanmar_2026-04-04
153192,16.25,95.75,Junta,myanmar_2026-04-04
153193,16.25,96.25,Junta,myanmar_2026-04-04
153196,16.25,97.75,Junta,myanmar_2026-04-04
153197,16.25,98.25,Karen,myanmar_2026-04-04
153198,16.25,98.75,Karen,myanmar_2026-04-04
153909,16.75,94.25,Junta,myanmar_2026-04-04
153910,16.75,94.75,Junta,myanmar_2026-04-04
153911,16.75,95.25,Junta,myanmar_2026-04-04
153912,16.75,95.75,Junta,myanmar_2026-04-04
153913,16.75,96.25,Junta,myanmar_2026-04-04
153914,16.75,96.75,Junta,myanmar_2026-04-04
153915,16.75,97.25,Junta,myanmar_2026-04-04
153916,16.75,97.75,Junta,myanmar_2026-04-04
153917,16.75,98.25,Karen,myanmar_2026-04-04
153918,16.75,98.75,Karen,myanmar_2026-04-04
154630,17.25,94.75,Junta,myanmar_2026-04-04
154631,17.25,95.25,Junta,myanmar_2026-04-04
154632,17.25,95.75,Junta,myanmar_2026-04-04
154633,17.25,96.25,Junta,myanmar_2026-04-04
154634,17.25,96.75,Junta,myanmar_2026-04-04
154635,17.25,97.25,Karen,myanmar_2026-04-04
154636,17.25,97.75,Karen,myanmar_2026-04-04
154637,17.25,98.25,Karen,myanmar_2026-04-04
155350,17.75,94.75,Junta,myanmar_2026-04-04
155351,17.75,95.25,Junta,myanmar_2026-04-04
155352,17.75,95.75,Junta,myanmar_2026-04-04
155353,17.75,96.25,Junta,myanmar_2026-04-04
155354,17.75,96.75,Karen,myanmar_2026-04-04
155355,17.75,97.25,Karen,myanmar_2026-04-04
155356,17.75,97.75,Karen,myanmar_2026-04-04
156069,18.25,94.25,Junta,myanmar_2026-04-04
156070,18.25,94.75,Junta,myanmar_2026-04-04
156071,18.25,95.25,Junta,myanmar_2026-04-04
156072,18.25,95.75,Junta,myanmar_2026-04-04
156073,18.25,96.25,PDF,myanmar_2026-04-04
156074,18.25,96.75,Karen,myanmar_2026-04-04
156075,18.25,97.25,Karen,myanmar_2026-04-04
156076,18.25,97.75,Karen,myanmar_2026-04-04
156788,18.75,93.75,Junta,myanmar_2026-04-04
156789,18.75,94.25,Junta,myanmar_2026-04-04
156790,18.75,94.75,Junta,myanmar_2026-04-04
156791,18.75,95.25,Junta,myanmar_2026-04-04
156792,18.75,95.75,PDF,myanmar_2026-04-04
156793,18.75,96.25,PDF,myanmar_2026-04-04
156794,18.75,96.75,Karen,myanmar_2026-04-04
156795,18.75,97.25,Karenni,myanmar_2026-04-04
156796,18.75,97.75,Karenni,myanmar_2026-04-04
157508,19.25,93.75,Junta,myanmar_2026-04-04
157509,19.25,94.25,Junta,myanmar_2026-04-04
157510,19.25,94.75,Junta,myanmar_2026-04-04
157511,19.25,95.25,Junta,myanmar_2026-04-04
157512,19.25,95.75,Junta,myanmar_2026-04-04
157513,19.25,96.25,Junta,myanmar_2026-04-04
157514,19.25,96.75,Karen,myanmar_2026-04-04
157515,19.25,97.25,Karenni,myanmar_2026-04-04
157516,19.25,97.75,Karenni,myanmar_2026-04-04
158228,19.75,93.75,AA,myanmar_2026-04-04
158229,19.75,94.25,AA,myanmar_2026-04-04
158230,19.75,94.75,Junta,myanmar_2026-04-04
158231,19.75,95.25,Junta,myanmar_2026-04-04
158232,19.75,95.75,Junta,myanmar_2026-04-04
158233,19.75,96.25,Junta,myanmar_2026-04-04
158234,19.75,96.75,Karenni,myanmar_2026-04-04
158235,19.75,97.25,Karenni,myanmar_2026-04-04
158236,19.75,97.75,Junta,myanmar_2026-04-04
158237,19.75,98.25,Junta,myanmar_2026-04-04
158238,19.75,98.75,Junta,myanmar_2026-04-04
158946,20.25,92.75,Junta,myanmar_2026-04-04
158947,20.25,93.25,Junta,myanmar_2026-04-04
158948,20.25,93.75,AA,myanmar_2026-04-04
158949,20.25,94.25,AA,myanmar_2026-04-04
158950,20.25,94.75,Junta,myanmar_2026-04-04
158951,20.25,95.25,Junta,myanmar_2026-04-04
158952,20.25,95.75,Junta,myanmar_2026-04-04
158953,20.25,96.25,Junta,myanmar_2026-04-04
158954,20.25,96.75,Junta,myanmar_2026-04-04
158955,20.25,97.25,Junta,myanmar_2026-04-04
158956,20.25,97.75,Junta,myanmar_2026-04-04
158957,20.25,98.25,Junta,myanmar_2026-04-04
158958,20.25,98.75,Junta,myanmar_2026-04-04
158959,20.25,99.25,Junta,myanmar_2026-04-04
158960,20.25,99.75,Junta,myanmar_2026-04-04
158961,20.25,100.25,Junta,myanmar_2026-04-04
159665,20.75,92.25,Junta,myanmar_2026-04-04
159666,20.75,92.75,AA,myanmar_2026-04-04
159667,20.75,93.25,AA,myanmar_2026-04-04
159668,20.75,93.75,AA,myanmar_2026-04-04
159669,20.75,94.25,Junta,myanmar_2026-04-04
159670,20.75,94.75,Junta,myanmar_2026-04-04
159671,20.75,95.25,Junta,myanmar_2026-04-04
159672,20.75,95.75,Junta,myanmar_2026-04-04
159673,20.75,96.25,Junta,myanmar_2026-04-04
159674,20.75,96.75,Junta,myanmar_2026-04-04
159675,20.75,97.25,Junta,myanmar_2026-04-04
159676,20.75,97.75,Junta,myanmar_2026-04-04
159677,20.75,98.25,Junta,myanmar_2026-04-04
159678,20.75,98.75,Junta,myanmar_2026-04-04
159679,20.75,99.25,Junta,myanmar_2026-04-04
159680,20.75,99.75,Junta,myanmar_2026-04-04
159681,20.75,100.25,Junta,myanmar_2026-04-04
160385,21.25,92.25,AA,myanmar_2026-04-04
160386,21.25,92.75,AA,myanmar_2026-04-04
160387,21.25,93.25,Chin Resistance,myanmar_2026-04-04
160388,21.25,93.75,Chin Resistance,myanmar_2026-04-04
160389,21.25,94.25,Chin Resistance,myanmar_2026-04-04
160390,21.25,94.75,Junta,myanmar_2026-04-04
160391,21.25,95.25,Junta,myanmar_2026-04-04
160392,21.25,95.75,Junta,myanmar_2026-04-04
