priogrid_gid,lat,lon,faction,faction_id,date
144558,10.25,98.75,Junta,0,2023-12-30
145277,10.75,98.25,Junta,0,2023-12-30
145278,10.75,98.75,Junta,0,2023-12-30
145998,11.25,98.75,Junta,0,2023-12-30
145999,11.25,99.25,PDF,2,2023-12-30
146717,11.75,98.25,Junta,0,2023-12-30
146718,11.75,98.75,PDF,2,2023-12-30
146719,11.75,99.25,PDF,2,2023-12-30
146720,11.75,99.75,Junta,0,2023-12-30
147437,12.25,98.25,Junta,0,2023-12-30
147438,12.25,98.75,Junta,0,2023-12-30
147439,12.25,99.25,PDF,2,2023-12-30
148157,12.75,98.25,Junta,0,2023-12-30
148158,12.75,98.75,Junta,0,2023-12-30
148159,12.75,99.25,PDF,2,2023-12-30
148878,13.25,98.75,Junta,0,2023-12-30
148879,13.25,99.25,PDF,2,2023-12-30
149597,13.75,98.25,Junta,0,2023-12-30
149598,13.75,98.75,Karen,4,2023-12-30
149599,13.75,99.25,Karen,4,2023-12-30
150317,14.25,98.25,Junta,0,2023-12-30
150318,14.25,98.75,Karen,4,2023-12-30
151036,14.75,97.75,Junta,0,2023-12-30
151037,14.75,98.25,Karen,4,2023-12-30
151756,15.25,97.75,Junta,0,2023-12-30
151757,15.25,98.25,Junta,0,2023-12-30
152471,15.75,95.25,Junta,0,2023-12-30
152472,15.75,95.75,Junta,0,2023-12-30
152476,15.75,97.75,Junta,0,2023-12-30
152477,15.75,98.25,Karen,4,2023-12-30
153189,16.25,94.25,Junta,0,2023-12-30
153190,16.25,94.75,Junta,0,2023-12-30
153191,16.25,95.25,Junta,0,2023-12-30
153192,16.25,95.75,Junta,0,2023-12-30
153193,16.25,96.25,Junta,0,2023-12-30
153196,16.25,97.75,Junta,0,2023-12-30
153197,16.25,98.25,Karen,4,2023-12-30
153198,16.25,98.75,Karen,4,2023-12-30
153909,16.75,94.25,Junta,0,2023-12-30
153910,16.75,94.75,Junta,0,2023-12-30
153911,16.75,95.25,Junta,0,2023-12-30
153912,16.75,95.75,Junta,0,2023-12-30
153913,16.75,96.25,Junta,0,2023-12-30
153914,16.75,96.75,Junta,0,2023-12-30
153915,16.75,97.25,Junta,0,2023-12-30
153916,16.75,97.75,Junta,0,2023-12-30
153917,16.75,98.25,Karen,4,2023-12-30
153918,16.75,98.75,Karen,4,2023-12-30
154630,17.25,94.75,Junta,0,2023-12-30
154631,17.25,95.25,Junta,0,2023-12-30
154632,17.25,95.75,Junta,0,2023-12-30
154633,17.25,96.25,Junta,0,2023-12-30
154634,17.25,96.75,Junta,0,2023-12-30
154635,17.25,97.25,Junta,0,2023-12-30
154636,17.25,97.75,Junta,0,2023-12-30
154637,17.25,98.25,Junta,0,2023-12-30
155350,17.75,94.75,Junta,0,2023-12-30
155351,17.75,95.25,Junta,0,2023-12-30
155352,17.75,95.75,Junta,0,2023-12-30
155353,17.75,96.25,Junta,0,2023-12-30
155354,17.75,96.75,Junta,0,2023-12-30
155355,17.75,97.25,Junta,0,2023-12-30
155356,17.75,97.75,Junta,0,2023-12-30
156069,18.25,94.25,Junta,0,2023-12-30
156070,18.25,94.75,Junta,0,2023-12-30
156071,18.25,95.25,Junta,0,2023-12-30
156072,18.25,95.75,Junta,0,2023-12-30
156073,18.25,96.25,PDF,2,2023-12-30
156074,18.25,96.75,Junta,0,2023-12-30
156075,18.25,97.25,Junta,0,2023-12-30
156076,18.25,97.75,Junta,0,2023-12-30
156788,18.75,93.75,Junta,0,2023-12-30
156789,18.75,94.25,Junta,0,2023-12-30
156790,18.75,94.75,Junta,0,2023-12-30
156791,18.75,95.25,Junta,0,2023-12-30
156792,18.75,95.75,PDF,2,2023-12-30
156793,18.75,96.25,PDF,2,2023-12-30
156794,18.75,96.75,Junta,0,2023-12-30
156795,18.75,97.25,Karenni,5,2023-12-30
156796,18.75,97.75,Karenni,5,2023-12-30
157508,19.25,93.75,Junta,0,2023-12-30
157509,19.25,94.25,Junta,0,2023-12-30
157510,19.25,94.75,Junta,0,2023-12-30
157511,19.25,95.25,Junta,0,2023-12-30
157512,19.25,95.75,Junta,0,2023-12-30
157513,19.25,96.25,Junta,0,2023-12-30
157514,19.25,96.75,Junta,0,2023-12-30
157515,19.25,97.25,Karenni,5,2023-12-30
