priogrid_gid,lat,lon,faction,faction_id,date,wiki_label,level2_group,level1_side
144558,10.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
145277,10.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
145278,10.75,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
145998,11.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
145999,11.25,99.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
146717,11.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
146718,11.75,98.75,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
146719,11.75,99.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
146720,11.75,99.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
147437,12.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
147438,12.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
147439,12.25,99.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
148157,12.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
148158,12.75,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
148159,12.75,99.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
148878,13.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
148879,13.25,99.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
149597,13.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
149598,13.75,98.75,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
149599,13.75,99.25,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
150317,14.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
150318,14.25,98.75,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
151036,14.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
151037,14.75,98.25,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
151756,15.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
151757,15.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
152471,15.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
152472,15.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
152476,15.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
152477,15.75,98.25,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
153189,16.25,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153190,16.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153191,16.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153192,16.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153193,16.25,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153196,16.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153197,16.25,98.25,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
153198,16.25,98.75,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
153909,16.75,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153910,16.75,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153911,16.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153912,16.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153913,16.75,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153914,16.75,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153915,16.75,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153916,16.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
153917,16.75,98.25,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
153918,16.75,98.75,Karen,4,2023-12-30,Karen,Ethnic armed,Anti-Junta
154630,17.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154631,17.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154632,17.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154633,17.25,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154634,17.25,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154635,17.25,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154636,17.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
154637,17.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155350,17.75,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155351,17.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155352,17.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155353,17.75,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155354,17.75,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155355,17.75,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
155356,17.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156069,18.25,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156070,18.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156071,18.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156072,18.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156073,18.25,96.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
156074,18.25,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156075,18.25,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156076,18.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156788,18.75,93.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156789,18.75,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156790,18.75,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156791,18.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156792,18.75,95.75,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
156793,18.75,96.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
156794,18.75,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
156795,18.75,97.25,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
156796,18.75,97.75,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
157508,19.25,93.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157509,19.25,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157510,19.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157511,19.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157512,19.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157513,19.25,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157514,19.25,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
157515,19.25,97.25,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
157516,19.25,97.75,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
158228,19.75,93.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158229,19.75,94.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158230,19.75,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158231,19.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158232,19.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158233,19.75,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158234,19.75,96.75,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
158235,19.75,97.25,Karenni,5,2023-12-30,Karenni,Ethnic armed,Anti-Junta
158236,19.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158237,19.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158238,19.75,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158946,20.25,92.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158947,20.25,93.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158948,20.25,93.75,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
158949,20.25,94.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
158950,20.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158951,20.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158952,20.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158953,20.25,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158954,20.25,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158955,20.25,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158956,20.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158957,20.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158958,20.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158959,20.25,99.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158960,20.25,99.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
158961,20.25,100.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159665,20.75,92.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159666,20.75,92.75,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
159667,20.75,93.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
159668,20.75,93.75,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
159669,20.75,94.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
159670,20.75,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159671,20.75,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159672,20.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159673,20.75,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159674,20.75,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159675,20.75,97.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159676,20.75,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159677,20.75,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159678,20.75,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159679,20.75,99.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159680,20.75,99.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
159681,20.75,100.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160385,21.25,92.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
160386,21.25,92.75,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
160387,21.25,93.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
160388,21.25,93.75,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
160389,21.25,94.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
160390,21.25,94.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160391,21.25,95.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160392,21.25,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160393,21.25,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160394,21.25,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160395,21.25,97.25,RCSS,13,2023-12-30,RCSS,Ceasefire,Anti-Junta
160396,21.25,97.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160397,21.25,98.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160398,21.25,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160399,21.25,99.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160400,21.25,99.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160401,21.25,100.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
160402,21.25,100.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161105,21.75,92.25,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
161106,21.75,92.75,AA,6,2023-12-30,AA,Ethnic armed,Anti-Junta
161107,21.75,93.25,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
161108,21.75,93.75,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
161109,21.75,94.25,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
161110,21.75,94.75,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
161111,21.75,95.25,PDF,2,2023-12-30,PDF,Pro-democracy,Anti-Junta
161112,21.75,95.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161113,21.75,96.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161114,21.75,96.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161115,21.75,97.25,RCSS,13,2023-12-30,RCSS,Ceasefire,Anti-Junta
161116,21.75,97.75,SSPP,12,2023-12-30,SSPP,Ceasefire,Anti-Junta
161117,21.75,98.25,SSPP,12,2023-12-30,SSPP,Ceasefire,Anti-Junta
161118,21.75,98.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161119,21.75,99.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161120,21.75,99.75,NDAA,14,2023-12-30,NDAA,Ceasefire,Anti-Junta
161121,21.75,100.25,NDAA,14,2023-12-30,NDAA,Ceasefire,Anti-Junta
161122,21.75,100.75,NDAA,14,2023-12-30,NDAA,Ceasefire,Anti-Junta
161123,21.75,101.25,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161826,22.25,92.75,Junta,0,2023-12-30,Junta,Junta,Pro-Junta
161827,22.25,93.25,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
161828,22.25,93.75,Chin Resistance,9,2023-12-30,Chin Resistance,Ethnic armed,Anti-Junta
