feature,importance,model
months_in_current_faction,0.527029207691186,Random Forest
months_since_last_event,0.0741879117774195,Random Forest
neighbor_n_events,0.06265558305003283,Random Forest
n_events_roll6,0.03478018522783207,Random Forest
total_deaths_roll6,0.03470400759874426,Random Forest
total_deaths_roll3,0.023716078807640123,Random Forest
event_trend_3m,0.022613745689944193,Random Forest
is_pro_junta,0.021316079962493666,Random Forest
total_deaths_lag1,0.01926212711113803,Random Forest
total_deaths_lag6,0.018432900908528532,Random Forest
n_events_lag6,0.017507124787899255,Random Forest
n_events_roll3,0.01522873696913728,Random Forest
total_deaths_lag3,0.015172168807625229,Random Forest
flag_pdf,0.012660209660545107,Random Forest
flag_kia,0.011347524551614295,Random Forest
total_deaths,0.011071106556126234,Random Forest
flag_junta,0.009400313336973418,Random Forest
n_events_lag1,0.009316933318630963,Random Forest
n_events_lag3,0.008524577820204913,Random Forest
junta_events,0.007316056155850162,Random Forest
n_events,0.006896704683225518,Random Forest
flag_tnla,0.00671071307272311,Random Forest
attacker_matches_controller,0.0066045604474521905,Random Forest
n_unique_groups,0.00569480445019739,Random Forest
neighbor_changed_faction,0.00515359984429813,Random Forest
flag_aa,0.004521599583123039,Random Forest
flag_karen,0.003533709385968764,Random Forest
junta_event_share,0.003261051625431318,Random Forest
flag_mndaa,0.0012694617384401848,Random Forest
flag_karenni,8.116879823544025e-05,Random Forest
anti_junta_event_share,1.5915896506666998e-05,Random Forest
anti_junta_events,8.706493201025233e-06,Random Forest
flag_chin_resistance,5.4241916312689765e-06,Random Forest
months_in_current_faction,0.24240145212479494,Gradient Boosting
neighbor_n_events,0.17767777438368007,Gradient Boosting
is_pro_junta,0.13154286046281552,Gradient Boosting
n_events_roll6,0.07121293588689363,Gradient Boosting
total_deaths_roll6,0.053014730262220665,Gradient Boosting
n_events_roll3,0.04543672291248765,Gradient Boosting
event_trend_3m,0.04476220497137824,Gradient Boosting
neighbor_changed_faction,0.037937845419124906,Gradient Boosting
months_since_last_event,0.030608862655790325,Gradient Boosting
total_deaths_lag1,0.022579961283828713,Gradient Boosting
total_deaths_lag3,0.021487194494718257,Gradient Boosting
total_deaths_lag6,0.018436125988865303,Gradient Boosting
total_deaths_roll3,0.014592138544726685,Gradient Boosting
flag_tnla,0.013178790353620412,Gradient Boosting
total_deaths,0.012617149107803663,Gradient Boosting
flag_karen,0.011645787153395013,Gradient Boosting
flag_kia,0.009524478017750342,Gradient Boosting
n_events_lag1,0.008710617864292745,Gradient Boosting
n_events,0.006382271061240644,Gradient Boosting
flag_pdf,0.0055998944305452394,Gradient Boosting
n_events_lag6,0.004866585912563049,Gradient Boosting
junta_events,0.0041932015441802474,Gradient Boosting
n_events_lag3,0.004103510081955439,Gradient Boosting
n_unique_groups,0.003885661842951533,Gradient Boosting
junta_event_share,0.0016298120639330167,Gradient Boosting
flag_junta,0.0013747491602378427,Gradient Boosting
attacker_matches_controller,0.0005619410035464494,Gradient Boosting
flag_mndaa,3.374656594170281e-05,Gradient Boosting
flag_aa,9.944447176815107e-07,Gradient Boosting
flag_chin_resistance,0.0,Gradient Boosting
flag_karenni,0.0,Gradient Boosting
anti_junta_events,0.0,Gradient Boosting
anti_junta_event_share,0.0,Gradient Boosting
