feature,baseline_f1,f1_drop,relative_importance_%
total_events_lag12,0.924955,0.007505,0.81
events_gov_roll6m,0.924955,0.006585,0.71
total_events_lag3,0.924955,0.006043,0.65
events_kio,0.924955,0.006013,0.65
events_nug_lag6,0.924955,0.005745,0.62
events_knu_roll6m,0.924955,0.005592,0.6
total_events_lag9,0.924955,0.005209,0.56
total_events_roll12m,0.924955,0.005121,0.55
total_fatalities_roll12m,0.924955,0.005004,0.54
total_fatalities_lag12,0.924955,0.004488,0.49
total_events_lag6,0.924955,0.004281,0.46
total_fatalities_roll3m,0.924955,0.004078,0.44
events_pslf_roll3m,0.924955,0.004066,0.44
events_nug_lag12,0.924955,0.003986,0.43
total_events_std6m,0.924955,0.003738,0.4
events_gov_std6m,0.924955,0.003702,0.4
total_fatalities_lag1,0.924955,0.003533,0.38
events_kio_roll6m,0.924955,0.003345,0.36
events_nug_lag9,0.924955,0.003227,0.35
events_nug_std3m,0.924955,0.002964,0.32
gov_vs_civilians_lag9,0.924955,0.002902,0.31
total_fatalities_lag6,0.924955,0.002597,0.28
ula_event_share,0.924955,0.002465,0.27
total_fatalities_std3m,0.924955,0.002448,0.26
knu_event_share,0.924955,0.002335,0.25
events_ula_roll6m,0.924955,0.002189,0.24
events_nug_roll3m,0.924955,0.002077,0.22
events_kio_roll12m,0.924955,0.001738,0.19
total_fatalities_roll6m,0.924955,0.001713,0.19
gov_vs_civilians_lag1,0.924955,0.001558,0.17
events_pslf_roll6m,0.924955,0.001443,0.16
events_knu_roll3m,0.924955,0.001437,0.16
events_nug_lag3,0.924955,0.001405,0.15
events_nug_roll6m,0.924955,0.001327,0.14
nug_event_share,0.924955,0.0013,0.14
gov_vs_civilians_lag3,0.924955,0.00121,0.13
events_mndaa,0.924955,0.00121,0.13
events_mndaa_roll6m,0.924955,0.00121,0.13
gov_event_share,0.924955,0.001122,0.12
total_fatalities_trend,0.924955,0.000988,0.11
total_fatalities_std6m,0.924955,0.000971,0.1
events_knu_roll12m,0.924955,0.000936,0.1
total_events_roll3m,0.924955,0.000926,0.1
gov_vs_civilians_lag6,0.924955,0.000858,0.09
is_onesided_lag9,0.924955,0.000781,0.08
is_onesided_lag3,0.924955,0.000755,0.08
events_pslf_roll12m,0.924955,0.000692,0.07
events_gov_lag1,0.924955,0.000599,0.06
events_gov_std3m,0.924955,0.000473,0.05
kio_event_share,0.924955,0.000468,0.05
events_knu,0.924955,0.000467,0.05
events_nug_std6m,0.924955,0.000383,0.04
total_events_lag1,0.924955,0.000381,0.04
events_rcss,0.924955,0.0,0.0
events_uwsa,0.924955,0.0,0.0
deaths_a,0.924955,0.0,0.0
events_nug_roll12m,0.924955,-7e-05,-0.01
events_kio_roll3m,0.924955,-0.000123,-0.01
total_fatalities,0.924955,-0.000237,-0.03
events_gov_roll12m,0.924955,-0.000291,-0.03
total_fatalities_lag9,0.924955,-0.000291,-0.03
is_onesided_lag12,0.924955,-0.000374,-0.04
gov_vs_civilians_lag12,0.924955,-0.000537,-0.06
events_gov,0.924955,-0.000567,-0.06
events_nug_trend,0.924955,-0.000604,-0.07
deaths_b,0.924955,-0.00061,-0.07
events_gov_lag3,0.924955,-0.000771,-0.08
events_mndaa_roll3m,0.924955,-0.000829,-0.09
total_fatalities_lag3,0.924955,-0.001062,-0.11
is_statebased,0.924955,-0.001238,-0.13
events_mndaa_roll12m,0.924955,-0.001375,-0.15
events_ula_roll3m,0.924955,-0.001504,-0.16
events_ula_roll12m,0.924955,-0.001586,-0.17
events_gov_lag6,0.924955,-0.001598,-0.17
events_gov_roll3m,0.924955,-0.001936,-0.21
n_unique_dyads,0.924955,-0.001936,-0.21
total_events_std3m,0.924955,-0.001997,-0.22
is_onesided_lag6,0.924955,-0.002057,-0.22
is_onesided,0.924955,-0.002113,-0.23
events_gov_lag12,0.924955,-0.002343,-0.25
events_gov_lag9,0.924955,-0.002364,-0.26
deaths_civilians,0.924955,-0.002524,-0.27
total_events,0.924955,-0.00269,-0.29
gov_vs_civilians,0.924955,-0.00275,-0.3
total_events_trend,0.924955,-0.002979,-0.32
total_events_roll6m,0.924955,-0.002997,-0.32
events_ula,0.924955,-0.00316,-0.34
is_onesided_lag1,0.924955,-0.003252,-0.35
events_nug_lag1,0.924955,-0.003588,-0.39
events_pslf,0.924955,-0.003747,-0.41
events_nug,0.924955,-0.004072,-0.44
events_cnf,0.924955,-0.004414,-0.48
events_gov_trend,0.924955,-0.005228,-0.57
