actor1,event_count,inter1,top_admin1,top_sub_event,total_fatalities
Military Forces of Myanmar (2021-),42827,State forces,Sagaing,Armed clash,31250
Protesters (Myanmar),18163,Protesters,Sagaing,Peaceful protest,515
Unidentified Armed Group (Myanmar),6990,Political militia,Yangon,Remote explosive/landmine/IED,4294
Military Forces of Myanmar (2016-2021),3617,State forces,Rakhine,Armed clash,3334
Civilians (Myanmar),2228,Civilians,Sagaing,Other,1
Military Forces of Myanmar (2011-2016),2164,State forces,Shan-North,Armed clash,2747
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,1709,Rebel group,Kachin,Armed clash,3610
Unidentified Anti-Coup Armed Group,1569,Political militia,Sagaing,Armed clash,2572
ULA/AA: United League of Arakan/Arakan Army,1470,Rebel group,Rakhine,Armed clash,4400
KNU/KNLA: Karen National Union/Karen National Liberation Army,1459,Rebel group,Kayin,Armed clash,4565
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,808,Rebel group,Shan-North,Armed clash,801
Police Forces of Myanmar (2021-),738,State forces,Magway,Arrests,101
People's Defense Force - Myaing,565,Political militia,Magway,Armed clash,1145
MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,522,Rebel group,Shan-North,Armed clash,961
RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,389,Rebel group,Shan-North,Armed clash,80
Pyu Saw Htee,319,Political militia,Sagaing,Attack,174
PDF: People's Defense Force,278,Political militia,Sagaing,Armed clash,487
Government of Myanmar (2021-) State Administration Council,271,State forces,Nay Pyi Taw,Other,0
KNDF: Karenni Nationalities Defense Force,243,Political militia,Kayah,Armed clash,762
Rioters (Myanmar),241,Rioters,Rakhine,Mob violence,328
People's Defense Force - Yesagyo,237,Political militia,Magway,Armed clash,354
SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,214,Rebel group,Shan-South,Armed clash,37
People's Defense Force - Thayarwady District,197,Political militia,Bago-West,Armed clash,733
CNF/CNA: Chin National Front/Chin National Army,186,Rebel group,Chin,Armed clash,702
Natogyi People's Defense Force,184,Political militia,Mandalay,Air/drone strike,417
People's Defense Force - Shwebo District,174,Political militia,Sagaing,Armed clash,511
People's Defense Force - Pyay District,173,Political militia,Bago-West,Armed clash,272
People's Defense Force - Launglon,159,Political militia,Tanintharyi,Armed clash,296
Military Forces of Myanmar (1988-2011),156,State forces,Kayin,Armed clash,718
KNPP/KA: Karenni National Progressive Party/Karenni Army,151,Rebel group,Kayah,Armed clash,863
People's Defense Force - Kalay,135,Political militia,Sagaing,Armed clash,592
Military Forces of Myanmar (2021-) People's Militia Force,135,State forces,Kachin,Attack,84
People's Defense Force - Myingyan District,133,Political militia,Mandalay,Armed clash,557
ARSA: Arakan Rohingya Salvation Army,121,Rebel group,Rakhine,Armed clash,377
People's Defense Force - Monywa District,116,Political militia,Sagaing,Armed clash,311
Police Forces of Myanmar (2021-) Prison Guards,114,State forces,Mandalay,Attack,56
Military Forces of Myanmar (2021-) Border Guard Force,114,State forces,Kayin,Shelling/artillery/missile attack,79
People's Defense Force - Myeik District,113,Political militia,Tanintharyi,Armed clash,268
People's Defense Force - South Monywa,109,Political militia,Sagaing,Armed clash,210
People's Defense Force - Gangaw District,109,Political militia,Magway,Armed clash,325
Ye Bi Lu Aphwe: Ye Ogre Group,107,Political militia,Mon,Armed clash,194
MBT: Myingyan Black Tiger,105,Political militia,Magway,Armed clash,361
People's Defense Force - Ye-U,98,Political militia,Sagaing,Armed clash,155
MSPDF: Myaung Special People's Defense Force,94,Political militia,Sagaing,Air/drone strike,153
Kani People's Defense Force - KLG,94,Political militia,Sagaing,Armed clash,510
Unicorn Guerrilla Force,91,Political militia,Sagaing,Air/drone strike,94
People's Defense Force - Chaung-U,91,Political militia,Sagaing,Remote explosive/landmine/IED,399
Zero Guerrilla Force - Myingyan,90,Political militia,Sagaing,Armed clash,466
PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,89,Political militia,Shan-South,Attack,136
People's Defense Force - Mandalay,88,Political militia,Mandalay,Armed clash,158
People's Defense Force - Pakokku,87,Political militia,Magway,Armed clash,161
People's Defense Force - Pakokku District,86,Political militia,Magway,Armed clash,232
Chinland Defense Force - Mindat,82,Political militia,Chin,Armed clash,193
People's Defense Force - Madaya,78,Political militia,Mandalay,Remote explosive/landmine/IED,168
KNDO: Karen National Defense Organization,77,Rebel group,Kayin,Armed clash,235
People's Defense Force - Yinmarbin District,77,Political militia,Sagaing,Armed clash,190
Brotherhood Alliance,77,Rebel group,Shan-North,Armed clash,60
People's Defense Force - Minbu District,75,Political militia,Magway,Armed clash,291
Police Forces of Myanmar (2016-2021),75,State forces,Rakhine,Attack,34
CDSOM: Civilians Defense Security Organization Myaung,74,Political militia,Sagaing,Armed clash,344
PPDF: People's Defense Force - Paungde,73,Political militia,Bago-West,Armed clash,98
People's Defense Force - Taze,70,Political militia,Sagaing,Armed clash,389
Kanbalu UG: Kanbalu Underground Warriors,65,Political militia,Sagaing,Armed clash,71
27 Revolution Forces - Myingyan,63,Political militia,Mandalay,Air/drone strike,138
People's Defense Force - Taungtha,61,Political militia,Mandalay,Armed clash,173
People's Defense Force - Phyu,60,Political militia,Bago-East,Air/drone strike,79
People's Defense Force - Shwebo,60,Political militia,Sagaing,Armed clash,110
MDDS: Myingyan District Drone Strike,59,Political militia,Mandalay,Air/drone strike,71
Black Eagle Defense Force-MMU,59,Political militia,Sagaing,Remote explosive/landmine/IED,139
PAFD: People's Army to Fight Dictatorship,59,Political militia,Sagaing,Remote explosive/landmine/IED,119
Black Wolf People's Defense Force,59,Political militia,Sagaing,Armed clash,71
YDF: Yaw Defense Force,59,Political militia,Magway,Armed clash,458
CNO/CNDF: Chin National Organization/Chin National Defense Force,59,Political militia,Chin,Armed clash,179
People's Defense Force - Tanintharyi,58,Political militia,Tanintharyi,Armed clash,86
Chinland Defense Force - Hakha,58,Political militia,Chin,Armed clash,143
Police Forces of Myanmar (2021-) Border Guard Police,58,State forces,Rakhine,Change to group/activity,23
