actor2,event_count,inter2
Civilians (Myanmar),33264,Civilians
Military Forces of Myanmar (2021-),20026,State forces
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,3099,Rebel group
ULA/AA: United League of Arakan/Arakan Army,1903,Rebel group
Police Forces of Myanmar (2021-),1788,State forces
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,1505,Rebel group
Unidentified Anti-Coup Armed Group,1416,Political militia
KNU/KNLA: Karen National Union/Karen National Liberation Army,1226,Rebel group
Pyu Saw Htee,1150,Political militia
Unidentified Armed Group (Myanmar),444,Political militia
MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,380,Rebel group
SSPP/SSA-N: Shan State Progress Party/Shan State Army-North,347,Rebel group
RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,345,Rebel group
Military Forces of Myanmar (2011-2016),311,State forces
KNDF: Karenni Nationalities Defense Force,289,Political militia
Military Forces of Myanmar (2016-2021),210,State forces
PDF: People's Defense Force,191,Political militia
Military Forces of Myanmar (2021-) People's Militia Force,183,State forces
KNPP/KA: Karenni National Progressive Party/Karenni Army,143,Rebel group
Police Forces of Myanmar (2011-2016),131,State forces
PNLO/PNLA: Pa-Oh National Liberation Organization/Pa-Oh National Liberation Army,122,Rebel group
Police Forces of Myanmar (2021-) Border Guard Police,111,State forces
Police Forces of Myanmar (2016-2021),104,State forces
CNF/CNA: Chin National Front/Chin National Army,99,Rebel group
DKBA (Benevolent): Democratic Karen Benevolent Army (2010-),98,Rebel group
Military Forces of Myanmar (2021-) Border Guard Force,96,State forces
People's Defense Force - Mandalay,92,Political militia
Chinland Defense Force - Mindat,92,Political militia
NA-B: Northern Alliance,80,Rebel group
Civilians (China),77,Civilians
People's Defense Force - Pekon,59,Political militia
ARSA: Arakan Rohingya Salvation Army,58,Rebel group
People's Defense Force - Demoso,57,Political militia
Brotherhood Alliance,51,Rebel group
CNO/CNDF: Chin National Organization/Chin National Defense Force,49,Political militia
People's Defense Force - Kalay,48,Political militia
Chinland Defense Force - Matupi,47,Political militia
People's Defense Force - Myeik District,47,Political militia
Rioters (Myanmar),44,Rioters
SNA: Shanni Nationalities Army,42,Political militia
KNDO: Karen National Defense Organization,38,Rebel group
Civilians (Bangladesh),37,Civilians
People's Defense Force - Myaing,37,Political militia
Chinland Defense Force - Kanpetlet,36,Political militia
Chinland Defense Force - Thantlang,35,Political militia
Cobra Column,35,Political militia
DKBA (Buddhist): Democratic Karen Buddhist Army (2016-),34,Political militia
Chinland Defense Force - Hakha,34,Political militia
Police Forces of Myanmar (2021-) Prison Guards,31,State forces
MBT: Myingyan Black Tiger,30,Political militia
MBPDF: Mobye People's Defense Force,30,Political militia
Police Forces of Myanmar (2016-2021) Border Guard Police,30,State forces
Chin Brotherhood Alliance,28,Political militia
CDF: Chinland Defense Force,27,Political militia
People's Defense Force - Thayarwady District,27,Political militia
NMSP/MNLA: New Mon State Party/Mon National Liberation Army,25,Rebel group
CDM: Civic Defense Militia - Siyin,25,Political militia
YDF: Yaw Defense Force,22,Political militia
BNRA: Burma National Revolutionary Army,22,Political militia
Kaw Thoo Lei Army,21,Political militia
CDF-KKG: Chinland Defense Force - Kalay-Kabaw-Gangaw,21,Political militia
People's Defense Force - Shwebo District,20,Political militia
People's Defense Force - Gangaw District,20,Political militia
People's Defense Force - Minbu District,20,Political militia
NTDF: Northern Thandaung Defense Force,20,Political militia
PPDF: Pale People's Defense Force,20,Political militia
PNO/PNA: Pa-Oh National Organization/Pa-Oh National Army,20,Political militia
Government of Myanmar (2021-) State Administration Council,19,State forces
Zomi Federal Union/People's Defense Force - Zoland,19,Political militia
People's Defense Force - Katha,19,Political militia
People's Defense Force - Nay Pyi Taw,19,Political militia
People's Defense Force - Kawlin District,19,Political militia
People's Defense Force - Tamu,19,Political militia
ABSDF: All Burma Students' Democratic Front,18,Rebel group
KRU: Karenni Revolution Union,18,Political militia
Rohingya Muslim Militia (Myanmar),18,Identity militia
People's Defense Force - Yinmarbin District,18,Political militia
People's Defense Force - Pakokku District,18,Political militia
People's Defense Force - Mingin,18,Political militia
KPDF: Karenni People's Defense Force,17,Political militia
People's Defense Force - Palaw,17,Political militia
People's Defense Force - Myingyan District,17,Political militia
Bat Ma Lite Pyauk Kyar Aphwe Tanintharyi Township: Impartial Guerrilla Group Tanintharyi Township,17,Political militia
UWSP/UWSA: United Wa State Party/United Wa State Army,17,Rebel group
DPLF/DPLA: Danu People's Liberation Front/Danu People's Liberation Army,16,Political militia
People's Defense Force - Yesagyo,16,Political militia
Lion Battalion Commando Special Force,15,Political militia
Kani People's Defense Force - KLG,15,Political militia
People's Security Force,14,Political militia
HPDF: Homalin People's Defense Force,14,Political militia
People's Defense Force - Tanintharyi,14,Political militia
CDSOM: Civilians Defense Security Organization Myaung,14,Political militia
People's Defense Force - Madaya,14,Political militia
People's Defense Force - Salin,13,Political militia
People's Defense Force - Kani,13,Political militia
People's Defense Force - Wetlet,12,Political militia
NSCN-K: National Socialist Council of Nagaland-Khaplang,12,Rebel group
ALP/ALA: Arakan Liberation Party/Arakan Liberation Army,12,Rebel group
MC-KC DF: Myit Chay- Kyun Chaung Defense Force,12,Political militia
IPDF: Inle People's Defense Force,12,Political militia
PLA: People's Liberation Army,12,Political militia
KNPLF: Karenni Nationalities People's Liberation Front,12,Political militia
People's Defense Force - Paungbyin,12,Political militia
People's Defense Force - Pauk,11,Political militia
People's Defense Force - Launglon,11,Political militia
People's Defense Force - Ye-U,11,Political militia
People's Defense Force - Wuntho,10,Political militia
People's Defense Force - Tigyaing,10,Political militia
People's Defense Force - Chaung-U,10,Political militia
People's Defense Force - Taze,10,Political militia
KPC: KNU/KNLA Peace Council,10,Political militia
People's Defense Force - Khin-U,10,Political militia
Private Security Forces (Myanmar),10,External/Other forces
People's Defense Force - Kawlin,10,Political militia
People's Defense Force - Tamu District,10,Political militia
YGF: Ye Guerrilla Force,10,Political militia
Zero Guerrilla Force - Myingyan,10,Political militia
Natogyi People's Defense Force,10,Political militia
People's Defense Force - Hkamti District,9,Political militia
People's Defense Force - Phyu,9,Political militia
Ye Bi Lu Aphwe: Ye Ogre Group,9,Political militia
People's Defense Force - Dawei District,9,Political militia
Military Forces of Myanmar (2011-2016) Border Guard Force,9,State forces
People's Defense Force - Monywa,9,Political militia
People's Defense Force - Pinlebu,9,Political militia
People's Defense Force - Myeik District Battalion 2,9,Political militia
Protesters (Myanmar),9,Protesters
Thway Thauk Aphwe: Blood Comrades Group (Pro-Military),9,Political militia
Taungoo Kha Yaing Pyi Thu Kar Kwei Yae Tat Ma Taw: Taungoo District People's Defense Force,9,Political militia
People's Defense Force - Tabayin,8,Political militia
People's Defense Force - Shwebo,8,Political militia
People's Defense Force - Thabeikkyin,8,Political militia
PDO/PDA: People's Democratic Organization/People's Democratic Army,8,Political militia
PRA: People's Revolution Army,8,Political militia
People's Defense Force - Myaung,8,Political militia
People's Defense Force - Loikaw,8,Political militia
Daw Na Column,8,Political militia
People's Defense Force - Katha District,8,Political militia
People's Defense Force - Myohla,8,Political militia
People's Defense Force - Gangaw Battalion,8,Political militia
MSRF: Mon State Revolutionary Force,8,Political militia
Military Forces of Myanmar (1988-2011),8,State forces
Taungoo Kha Yaing Pyi Thu Kar Kwei Yae Tat Ma Taw Tat Yin Ahmat 3501: Taungoo District People's Defense Force Battalion 3501,8,Political militia
MRDA: Myanmar's Royal Dragon Army,8,Political militia
USBA: United States Of Burma Army,8,Political militia
KNA: Kayan National Army,8,Rebel group
PSC/NDAA-ESS: Peace and Solidarity Committee/National Democratic Alliance Army-Eastern Shan State,7,Political militia
People's Defense Force - Kyunsu,7,Political militia
Chinland Defense Force - Zotung,7,Political militia
PRDF: Palaw Regional Defense Force,7,Political militia
Civilians (India),7,Civilians
People's Defense Force - Mandalay District,7,Political militia
People's Defense Force - Kawthoung,7,Political militia
KDF: Karenni Democratic Front,7,Political militia
MLPDF: Mawlaik People's Defense Force,7,Political militia
People's Defense Force - Monywa District,7,Political militia
Chinland Defense Force - Hualngoram,7,Political militia
KNLP/KNLA: Kayan New Land Party/Kayan New Land Army,7,Political militia
Daung Sit Aung Local People's Defense Force,7,Political militia
Military Forces of Myanmar (2016-2021) Border Guard Force,7,State forces
ADPRA: Anti-Dictatorship People's Revolution Army,7,Political militia
People's Defense Force - Taungtha,7,Political militia
Bo Lin Yone Tatphwe: Bo Eagle Force,7,Political militia
SRF: Student Revolution Force,7,Political militia
Myeik District People's Defense Force Collective Column 2,7,Political militia
People's Defense Force - Thayet District,7,Political militia
Civilians (International),7,Civilians
Military Forces of Myanmar (2011-2016) People's Militia Force,7,State forces
People's Defense Force - Saw Township,7,Political militia
People's Defense Force - Sagaing District,7,Political militia
People's Defense Force - Sagaing,7,Political militia
People's Defense Force - Pyay District,7,Political militia
Chinland Defense Force - Mara,7,Political militia
Brave Eagles YGN (UG),6,Political militia
Nay Pyi Taw People's Defense Force - Battalion 901,6,Political militia
NMSP-AD/NMLA-AD: New Mon State Party - Anti-military Dictatorship/Mon National Liberation Army - Anti-military Dictatorship,6,Rebel group
KTLA-TCJF (Tanintharyi),6,Political militia
PSR: People's Servant Revolution - Wetlet,6,Political militia
Military Forces of Myanmar (2016-2021) People's Militia Force,6,State forces
People's Defense Force - Mawlaik District,6,Political militia
People's Defense Force - Hseni,6,Political militia
ACDF: Asho Chin Defense Force,6,Political militia
People's Defense Force - Kale District,6,Political militia
YRA - Tilin: Yaw Revolution Army - Tilin,6,Political militia
YPDF: Ye People's Defense Force,6,Political militia
Chinland Defense Force - Zophei,6,Political militia
Spring Warriors Column,6,Political militia
People's Defense Force - Kyaukhtu,6,Political militia
SPGF: Southern Pauk Guerrilla Force,6,Political militia
Tanintharyi Kar Kwei Yay Pyauk Kyar Tatphwe: Tanintharyi Defense Guerrilla Force,6,Political militia
TDPDF: People's Defense Force Taung Dwin Region - Mingin,5,Political militia
Tha Khin Daung Nyo Pyauk Kyar Tatphwe: Master Brown Peacock Guerrilla Force,5,Political militia
MG6 Guerrilla Force,5,Political militia
MPDF: Mon Peace Defense Force,5,Political militia
YPDF: Yaw People's Defense Force,5,Political militia
MDF: Maraland Defense Force,5,Political militia
MDF - Shwebo: Myanmar Defense Force - Shwebo,5,Political militia
Southern YSO PDF: Southern Yesagyo People's Defense Force,5,Political militia
SAF: Student Armed Force,5,Political militia
Black Dragon Column,5,Political militia
ARF: Ayeyarwaddy Revolution Front,5,Political militia
Albino Tiger Column,5,Political militia
NLA: National Liberation Army,5,Political militia
People's Defense Force - Yinmarbin,5,Political militia
People's Defense Force - Salingyi,5,Political militia
PDA: People's Defense Army,5,Political militia
BPDF: Bawlakhe People's Defense Force,5,Political militia
People's Defense Force - Pakokku,5,Political militia
People's Defense Force - Magway,5,Political militia
Bagan Ogre Force,5,Political militia
People's Defense Force - Bago District,5,Political militia
People's Defense Force - Banmauk,5,Political militia
People's Defense Force - Kanbalu,5,Political militia
KLPDF: Kawlin People Defense Force,5,Political militia
People's Defense Force - Budalin,5,Political militia
Chinland Defense Force - Tonzang,5,Political militia
Civilians (Philippines),5,Civilians
DNLA: Dawei National Liberation Army,5,Political militia
People's Defense Force - Yedashe,4,Political militia
People's Defense Force - Htilin,4,Political militia
Phoenix DF: Phoenix Defense Force (Nattalin),4,Political militia
ULFA-I: United Liberation Front of Asom-Independent,4,Rebel group
Danger Force LDF,4,Political militia
BRR: Burma Revolution Rangers,4,Political militia
SSOF: Sagaing Special Operation Forces,4,Political militia
MVRF: Myaing Villages Revolution Front,4,Political militia
People's Defense Force - Sidotaya,4,Political militia
LPF: Launglone Peninsula Force,4,Political militia
People's Defense Force - Thayetchaung,4,Political militia
Chin Defense Force - Asho,4,Political militia
SSPDF: Southern Shan State People's Defense Force,4,Political militia
