actor1,actor2,interaction,event_count,total_fatalities
Military Forces of Myanmar (2021-),Civilians (Myanmar),State forces-Civilians,24182,12812
Unidentified Armed Group (Myanmar),Civilians (Myanmar),Political militia-Civilians,3885,3268
Military Forces of Myanmar (2021-),Unidentified Anti-Coup Armed Group,State forces-Political militia,1381,1778
KIO/KIA: Kachin Independence Organization/Kachin Independence Army,Military Forces of Myanmar (2021-),State forces-Rebel group,1307,3208
KNU/KNLA: Karen National Union/Karen National Liberation Army,Military Forces of Myanmar (2021-),State forces-Rebel group,1260,4240
Military Forces of Myanmar (2021-),KIO/KIA: Kachin Independence Organization/Kachin Independence Army,State forces-Rebel group,1139,1139
Unidentified Anti-Coup Armed Group,Military Forces of Myanmar (2021-),State forces-Political militia,1125,2187
Military Forces of Myanmar (2021-),KNU/KNLA: Karen National Union/Karen National Liberation Army,State forces-Rebel group,1070,2041
Military Forces of Myanmar (2011-2016),KIO/KIA: Kachin Independence Organization/Kachin Independence Army,State forces-Rebel group,1023,1313
ULA/AA: United League of Arakan/Arakan Army,Military Forces of Myanmar (2021-),State forces-Rebel group,972,3756
Military Forces of Myanmar (2016-2021),ULA/AA: United League of Arakan/Arakan Army,State forces-Rebel group,915,1514
Military Forces of Myanmar (2016-2021),KIO/KIA: Kachin Independence Organization/Kachin Independence Army,State forces-Rebel group,884,65
Military Forces of Myanmar (2021-),ULA/AA: United League of Arakan/Arakan Army,State forces-Rebel group,881,1392
Military Forces of Myanmar (2016-2021),Civilians (Myanmar),State forces-Civilians,809,1346
Military Forces of Myanmar (2021-),PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,State forces-Rebel group,676,246
Unidentified Armed Group (Myanmar),Military Forces of Myanmar (2021-),State forces-Political militia,544,388
Protesters (Myanmar),Military Forces of Myanmar (2021-),State forces-Protesters,543,484
People's Defense Force - Myaing,Military Forces of Myanmar (2021-),State forces-Political militia,476,1057
Military Forces of Myanmar (2011-2016),Civilians (Myanmar),State forces-Civilians,448,343
Police Forces of Myanmar (2021-),Civilians (Myanmar),State forces-Civilians,443,59
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,Military Forces of Myanmar (2021-),State forces-Rebel group,404,615
Military Forces of Myanmar (2016-2021),PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,State forces-Rebel group,356,113
Military Forces of Myanmar (2021-),Unidentified Armed Group (Myanmar),State forces-Political militia,299,70
Unidentified Armed Group (Myanmar),Police Forces of Myanmar (2021-),State forces-Political militia,296,166
Military Forces of Myanmar (2021-),KNDF: Karenni Nationalities Defense Force,State forces-Political militia,286,614
Military Forces of Myanmar (2021-),MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,State forces-Rebel group,278,475
Military Forces of Myanmar (2011-2016),PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,State forces-Rebel group,267,264
MNTJP/MNDAA: Myanmar National Truth and Justice Party/Myanmar National Democratic Alliance Army,Military Forces of Myanmar (2021-),State forces-Rebel group,256,517
Pyu Saw Htee,Civilians (Myanmar),Political militia-Civilians,218,125
ULA/AA: United League of Arakan/Arakan Army,Civilians (Myanmar),Rebel group-Civilians,215,42
KNDF: Karenni Nationalities Defense Force,Military Forces of Myanmar (2021-),State forces-Political militia,213,759
Protesters (Myanmar),Police Forces of Myanmar (2021-),State forces-Protesters,204,12
PDF: People's Defense Force,Military Forces of Myanmar (2021-),State forces-Political militia,201,443
People's Defense Force - Yesagyo,Military Forces of Myanmar (2021-),State forces-Political militia,185,316
Military Forces of Myanmar (2021-),PDF: People's Defense Force,State forces-Political militia,175,360
Unidentified Anti-Coup Armed Group,Civilians (Myanmar),Political militia-Civilians,161,129
RCSS/SSA-S: Restoration Council of Shan State/Shan State Army-South,PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,Rebel group-Rebel group,155,19
People's Defense Force - Shwebo District,Military Forces of Myanmar (2021-),State forces-Political militia,150,490
CNF/CNA: Chin National Front/Chin National Army,Military Forces of Myanmar (2021-),State forces-Rebel group,145,672
PSLF/TNLA: Palaung State Liberation Front/Ta'ang National Liberation Army,Civilians (Myanmar),Rebel group-Civilians,145,20
