inter1,inter2,interaction,event_count
State forces,Civilians,State forces-Civilians,26527
Political militia,State forces,State forces-Political militia,16335
State forces,Rebel group,State forces-Rebel group,8892
Political militia,Civilians,Political militia-Civilians,5783
Rebel group,State forces,State forces-Rebel group,5486
State forces,Political militia,State forces-Political militia,5183
Political militia,Political militia,Political militia-Political militia,1441
Rebel group,Civilians,Rebel group-Civilians,965
Protesters,State forces,State forces-Protesters,893
Rebel group,Rebel group,Rebel group-Rebel group,620
State forces,State forces,State forces-State forces,263
Rioters,State forces,State forces-Rioters,97
Rebel group,Political militia,Rebel group-Political militia,87
Rioters,Civilians,Rioters-Civilians,86
Political militia,Rebel group,Rebel group-Political militia,76
Rioters,Rioters,Rioters-Rioters,39
Identity militia,Civilians,Identity militia-Civilians,31
Civilians,Civilians,Civilians-Civilians,22
Identity militia,Identity militia,Identity militia-Identity militia,15
Protesters,Rebel group,Rebel group-Protesters,12
Protesters,Political militia,Political militia-Protesters,10
Protesters,Protesters,Protesters-Protesters,8
External/Other forces,Civilians,External/Other forces-Civilians,8
State forces,Identity militia,State forces-Identity militia,8
Identity militia,State forces,State forces-Identity militia,7
External/Other forces,Rebel group,Rebel group-External/Other forces,6
Rebel group,Identity militia,Rebel group-Identity militia,6
Political militia,External/Other forces,Political militia-External/Other forces,6
State forces,External/Other forces,State forces-External/Other forces,5
External/Other forces,State forces,State forces-External/Other forces,5
State forces,Rioters,State forces-Rioters,3
Protesters,Rioters,Rioters-Protesters,3
Rioters,External/Other forces,Rioters-External/Other forces,3
Civilians,Political militia,Political militia-Civilians,2
Protesters,External/Other forces,Protesters-External/Other forces,2
External/Other forces,Rioters,Rioters-External/Other forces,1
Rioters,Protesters,Rioters-Protesters,1
External/Other forces,Political militia,Political militia-External/Other forces,1
Rioters,Identity militia,Identity militia-Rioters,1
