month,n_events,total_sources,mean_sources,unique_outlets,caer_national
2010-01,12,12,1.0,6,2.0
2010-02,25,26,1.04,7,3.5714285714285716
2010-03,24,24,1.0,6,4.0
2010-04,14,14,1.0,9,1.5555555555555556
2010-05,14,14,1.0,7,2.0
2010-06,3,3,1.0,2,1.5
2010-07,11,11,1.0,7,1.5714285714285714
2010-08,11,11,1.0,6,1.8333333333333333
2010-09,26,27,1.0384615384615385,8,3.25
2010-10,22,22,1.0,6,3.6666666666666665
2010-11,37,37,1.0,13,2.8461538461538463
2010-12,15,15,1.0,6,2.5
2011-01,19,19,1.0,7,2.7142857142857144
2011-02,22,22,1.0,7,3.142857142857143
2011-03,40,41,1.025,10,4.0
2011-04,32,32,1.0,7,4.571428571428571
2011-05,25,25,1.0,10,2.5
2011-06,75,75,1.0,13,5.769230769230769
2011-07,62,62,1.0,10,6.2
2011-08,46,46,1.0,9,5.111111111111111
2011-09,61,61,1.0,8,7.625
2011-10,83,84,1.0120481927710843,10,8.3
2011-11,43,44,1.0232558139534884,13,3.3076923076923075
2011-12,26,26,1.0,7,3.7142857142857144
2012-01,22,24,1.0909090909090908,10,2.2
2012-02,32,33,1.03125,10,3.2
2012-03,52,55,1.0576923076923077,12,4.333333333333333
2012-04,43,43,1.0,7,6.142857142857143
2012-05,100,105,1.05,17,5.882352941176471
2012-06,92,95,1.0326086956521738,19,4.842105263157895
2012-07,65,65,1.0,9,7.222222222222222
2012-08,68,70,1.0294117647058822,13,5.230769230769231
2012-09,66,67,1.0151515151515151,10,6.6
2012-10,103,106,1.029126213592233,13,7.923076923076923
2012-11,67,69,1.0298507462686568,13,5.153846153846154
2012-12,88,93,1.0568181818181819,13,6.769230769230769
2013-01,94,99,1.053191489361702,17,5.529411764705882
2013-02,60,62,1.0333333333333334,10,6.0
2013-03,84,84,1.0,15,5.6
2013-04,48,49,1.0208333333333333,12,4.0
2013-05,66,77,1.1666666666666667,15,4.4
2013-06,75,77,1.0266666666666666,15,5.0
2013-07,37,39,1.054054054054054,13,2.8461538461538463
2013-08,59,60,1.0169491525423728,19,3.1052631578947367
2013-09,80,92,1.15,13,6.153846153846154
2013-10,81,90,1.1111111111111112,11,7.363636363636363
