admin1,month,n_events,mean_sources,unique_regional_outlets,national_unique_outlets,caer
Ayeyarwady,2010-10,1,1.0,1,6,0.16666666666666666
Ayeyarwady,2011-07,1,1.0,1,10,0.1
Ayeyarwady,2011-08,2,1.0,2,9,0.2222222222222222
Ayeyarwady,2011-09,1,1.0,1,8,0.125
Ayeyarwady,2012-02,1,1.0,1,10,0.1
Ayeyarwady,2012-03,2,1.0,1,12,0.16666666666666666
Ayeyarwady,2012-05,3,1.0,2,17,0.17647058823529413
Ayeyarwady,2012-07,1,1.0,1,9,0.1111111111111111
Ayeyarwady,2012-11,1,1.0,1,13,0.07692307692307693
Ayeyarwady,2012-12,4,1.0,2,13,0.3076923076923077
Ayeyarwady,2013-01,4,1.25,4,17,0.23529411764705882
Ayeyarwady,2013-02,3,1.3333333333333333,2,10,0.3
Ayeyarwady,2013-04,1,1.0,1,12,0.08333333333333333
Ayeyarwady,2013-05,3,1.0,1,15,0.2
Ayeyarwady,2013-06,3,1.0,1,15,0.2
Ayeyarwady,2013-07,2,1.0,1,13,0.15384615384615385
Ayeyarwady,2013-09,1,1.0,1,13,0.07692307692307693
Ayeyarwady,2013-10,2,1.0,2,11,0.18181818181818182
Ayeyarwady,2013-11,1,1.0,1,13,0.07692307692307693
Ayeyarwady,2014-02,2,1.0,1,12,0.16666666666666666
Ayeyarwady,2014-03,4,1.0,1,11,0.36363636363636365
Ayeyarwady,2014-04,2,1.0,1,14,0.14285714285714285
Ayeyarwady,2014-05,4,1.0,2,11,0.36363636363636365
Ayeyarwady,2014-06,1,1.0,1,15,0.06666666666666667
Ayeyarwady,2014-07,2,1.0,1,11,0.18181818181818182
Ayeyarwady,2014-08,3,1.0,3,12,0.25
Ayeyarwady,2014-10,1,1.0,1,15,0.06666666666666667
Ayeyarwady,2015-01,1,1.0,1,12,0.08333333333333333
Ayeyarwady,2015-02,10,1.0,4,17,0.5882352941176471
Ayeyarwady,2015-03,3,1.0,1,16,0.1875
Ayeyarwady,2015-05,1,1.0,1,12,0.08333333333333333
Ayeyarwady,2015-06,1,1.0,1,13,0.07692307692307693
Ayeyarwady,2015-07,1,1.0,1,17,0.058823529411764705
Ayeyarwady,2015-09,3,1.0,3,11,0.2727272727272727
Ayeyarwady,2015-10,5,1.0,3,11,0.45454545454545453
Ayeyarwady,2015-12,1,1.0,1,16,0.0625
Ayeyarwady,2016-05,1,1.0,1,14,0.07142857142857142
Ayeyarwady,2016-09,1,1.0,1,13,0.07692307692307693
Ayeyarwady,2016-10,3,1.0,1,17,0.17647058823529413
Ayeyarwady,2017-03,1,1.0,1,12,0.08333333333333333
Ayeyarwady,2017-06,1,1.0,1,11,0.09090909090909091
Ayeyarwady,2017-09,1,1.0,1,15,0.06666666666666667
Ayeyarwady,2018-02,1,1.0,1,12,0.08333333333333333
Ayeyarwady,2018-03,2,2.0,3,18,0.1111111111111111
Ayeyarwady,2018-05,1,1.0,1,17,0.058823529411764705
Ayeyarwady,2018-06,1,1.0,1,15,0.06666666666666667
Ayeyarwady,2018-07,1,1.0,1,15,0.06666666666666667
Ayeyarwady,2018-08,1,1.0,1,14,0.07142857142857142
Ayeyarwady,2018-09,1,1.0,1,16,0.0625
Ayeyarwady,2018-10,1,1.0,1,18,0.05555555555555555
Ayeyarwady,2018-12,4,1.0,3,11,0.36363636363636365
Ayeyarwady,2019-03,2,1.0,2,21,0.09523809523809523
Ayeyarwady,2019-04,1,1.0,1,21,0.047619047619047616
Ayeyarwady,2019-05,3,1.0,2,25,0.12
Ayeyarwady,2019-06,2,1.0,2,25,0.08
Ayeyarwady,2019-07,3,1.3333333333333333,3,20,0.15
Ayeyarwady,2019-08,1,1.0,1,19,0.05263157894736842
Ayeyarwady,2019-09,6,1.1666666666666667,6,20,0.3
Ayeyarwady,2019-10,1,1.0,1,22,0.045454545454545456
Ayeyarwady,2019-11,2,1.5,3,20,0.1
Ayeyarwady,2019-12,10,1.0,6,22,0.45454545454545453
Ayeyarwady,2020-01,6,1.1666666666666667,3,26,0.23076923076923078
Ayeyarwady,2020-02,1,2.0,2,24,0.041666666666666664
Ayeyarwady,2020-03,2,1.0,1,24,0.08333333333333333
Ayeyarwady,2020-08,2,1.5,3,20,0.1
Ayeyarwady,2020-10,1,1.0,1,24,0.041666666666666664
Ayeyarwady,2020-12,2,2.0,3,23,0.08695652173913043
Ayeyarwady,2021-01,2,1.0,2,27,0.07407407407407407
Ayeyarwady,2021-02,99,1.0707070707070707,10,48,2.0625
Ayeyarwady,2021-03,87,1.1494252873563218,11,50,1.74
Ayeyarwady,2021-04,26,1.0384615384615385,6,35,0.7428571428571429
Ayeyarwady,2021-05,40,1.075,8,33,1.2121212121212122
Ayeyarwady,2021-06,49,1.163265306122449,10,30,1.6333333333333333
Ayeyarwady,2021-07,18,1.1666666666666667,5,30,0.6
Ayeyarwady,2021-08,17,1.2941176470588236,9,33,0.5151515151515151
Ayeyarwady,2021-09,43,1.1395348837209303,6,28,1.5357142857142858
Ayeyarwady,2021-10,85,1.2941176470588236,9,27,3.1481481481481484
Ayeyarwady,2021-11,59,1.1864406779661016,9,28,2.107142857142857
Ayeyarwady,2021-12,48,1.0833333333333333,5,31,1.5483870967741935
Ayeyarwady,2022-01,48,1.25,6,33,1.4545454545454546
Ayeyarwady,2022-02,28,1.1071428571428572,4,28,1.0
Ayeyarwady,2022-03,23,1.0869565217391304,4,29,0.7931034482758621
Ayeyarwady,2022-04,38,1.0789473684210527,8,30,1.2666666666666666
Ayeyarwady,2022-05,25,1.24,7,25,1.0
Ayeyarwady,2022-06,27,1.2222222222222223,7,28,0.9642857142857143
Ayeyarwady,2022-07,18,1.2777777777777777,8,28,0.6428571428571429
Ayeyarwady,2022-08,16,1.25,6,26,0.6153846153846154
Ayeyarwady,2022-09,26,1.3846153846153846,6,26,1.0
Ayeyarwady,2022-10,25,1.6,10,29,0.8620689655172413
Ayeyarwady,2022-11,18,1.2777777777777777,6,28,0.6428571428571429
Ayeyarwady,2022-12,9,1.2222222222222223,4,25,0.36
Ayeyarwady,2023-01,18,1.5555555555555556,6,24,0.75
Ayeyarwady,2023-02,5,1.6,5,26,0.19230769230769232
Ayeyarwady,2023-03,27,1.2962962962962963,8,27,1.0
Ayeyarwady,2023-04,30,1.5333333333333334,8,28,1.0714285714285714
Ayeyarwady,2023-05,38,1.6842105263157894,9,26,1.4615384615384615
Ayeyarwady,2023-06,27,1.3333333333333333,8,28,0.9642857142857143
Ayeyarwady,2023-07,23,1.173913043478261,6,27,0.8518518518518519
Ayeyarwady,2023-08,11,1.2727272727272727,8,26,0.4230769230769231
Ayeyarwady,2023-09,6,1.5,7,27,0.2222222222222222
Ayeyarwady,2023-10,5,1.0,4,30,0.16666666666666666
Ayeyarwady,2023-11,15,1.1333333333333333,3,32,0.46875
Ayeyarwady,2023-12,23,1.173913043478261,5,27,0.8518518518518519
Ayeyarwady,2024-01,22,1.2727272727272727,6,37,0.5945945945945946
Ayeyarwady,2024-02,33,1.2121212121212122,4,27,1.2222222222222223
Ayeyarwady,2024-03,9,1.7777777777777777,7,26,0.34615384615384615
Ayeyarwady,2024-04,15,1.4,5,26,0.5769230769230769
Ayeyarwady,2024-05,13,1.2307692307692308,5,31,0.41935483870967744
Ayeyarwady,2024-06,24,1.1666666666666667,5,26,0.9230769230769231
Ayeyarwady,2024-07,21,1.0,3,27,0.7777777777777778
Ayeyarwady,2024-08,27,1.2222222222222223,5,26,1.0384615384615385
Ayeyarwady,2024-09,16,1.375,4,29,0.5517241379310345
Ayeyarwady,2024-10,15,1.3333333333333333,5,29,0.5172413793103449
Ayeyarwady,2024-11,23,1.2608695652173914,5,29,0.7931034482758621
Ayeyarwady,2024-12,58,1.3620689655172413,10,27,2.1481481481481484
Ayeyarwady,2025-01,82,1.853658536585366,13,34,2.411764705882353
Ayeyarwady,2025-02,68,1.4705882352941178,11,32,2.125
Ayeyarwady,2025-03,101,1.2277227722772277,10,29,3.4827586206896552
Ayeyarwady,2025-04,48,1.3333333333333333,8,27,1.7777777777777777
Ayeyarwady,2025-05,60,1.25,7,26,2.3076923076923075
Ayeyarwady,2025-06,51,1.2156862745098038,8,28,1.8214285714285714
Ayeyarwady,2025-07,35,1.457142857142857,6,33,1.0606060606060606
Ayeyarwady,2025-08,36,1.1944444444444444,6,30,1.2
Ayeyarwady,2025-09,24,1.2083333333333333,5,28,0.8571428571428571
Ayeyarwady,2025-10,8,1.5,4,32,0.25
Ayeyarwady,2025-11,20,2.05,8,32,0.625
Ayeyarwady,2025-12,13,1.3846153846153846,3,29,0.4482758620689655
Ayeyarwady,2026-01,15,1.0666666666666667,5,33,0.45454545454545453
Ayeyarwady,2026-02,42,1.0476190476190477,5,27,1.5555555555555556
